raw/disc/n_expert,raw/disc/disc_acc_gen,raw/disc/disc_acc_expert,raw/disc/disc_entropy,raw/disc/global_step,raw/disc/disc_proportion_expert_true,raw/disc/disc_loss,raw/disc/disc_proportion_expert_pred,raw/disc/disc_acc,raw/disc/n_generated
6.0,0.8333333134651184,0.1666666716337204,0.6916785836219788,1,0.5,0.7045682072639465,0.16666666666666666,0.5,6.0
6.0,0.1666666716337204,0.1666666716337204,0.6922634243965149,1,0.5,0.7133848071098328,0.5,0.1666666716337204,6.0
6.0,0.8333333134651184,0.1666666716337204,0.6923679709434509,2,0.5,0.6978259086608887,0.16666666666666666,0.5,6.0
6.0,0.6666666865348816,0.1666666716337204,0.6925642490386963,2,0.5,0.6979267001152039,0.25,0.4166666567325592,6.0
6.0,0.8333333134651184,0.1666666716337204,0.6927713751792908,3,0.5,0.6992679238319397,0.16666666666666666,0.5,6.0
6.0,1.0,0.1666666716337204,0.6926512718200684,3,0.5,0.6919405460357666,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6922780871391296,4,0.5,0.6800563931465149,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6923967003822327,4,0.5,0.6868305802345276,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.3333333432674408,0.6921547055244446,5,0.5,0.6802336573600769,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.5,0.6918135285377502,5,0.5,0.6740334630012512,0.25,0.75,6.0
6.0,1.0,0.5,0.6919333934783936,6,0.5,0.6775412559509277,0.25,0.75,6.0
6.0,1.0,0.5,0.6914820075035095,6,0.5,0.6699399948120117,0.25,0.75,6.0
6.0,1.0,0.5,0.6916859745979309,7,0.5,0.67742919921875,0.25,0.75,6.0
6.0,1.0,0.5,0.6909525990486145,7,0.5,0.6650028228759766,0.25,0.75,6.0
6.0,1.0,0.5,0.6908782124519348,8,0.5,0.6699832081794739,0.25,0.75,6.0
6.0,1.0,0.5,0.6903282999992371,8,0.5,0.6640904545783997,0.25,0.75,6.0
6.0,0.8333333134651184,0.5,0.6899130344390869,9,0.5,0.6605730056762695,0.3333333333333333,0.6666666865348816,6.0
6.0,1.0,0.5,0.6890139579772949,9,0.5,0.6475322842597961,0.25,0.75,6.0
6.0,0.8333333134651184,0.5,0.6893838047981262,10,0.5,0.6598730683326721,0.3333333333333333,0.6666666865348816,6.0
6.0,1.0,0.5,0.6892630457878113,10,0.5,0.6609398722648621,0.25,0.75,6.0
6.0,0.8333333134651184,0.5,0.6886231899261475,11,0.5,0.6653282046318054,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.68756103515625,11,0.5,0.652388334274292,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.6863093376159668,12,0.5,0.6412785649299622,0.3333333333333333,0.6666666865348816,6.0
6.0,0.6666666865348816,0.5,0.6871778964996338,12,0.5,0.6629416942596436,0.4166666666666667,0.5833333134651184,6.0
6.0,0.3333333432674408,0.5,0.6871524453163147,13,0.5,0.6735978126525879,0.5833333333333334,0.4166666567325592,6.0
6.0,0.5,0.5,0.6864112019538879,13,0.5,0.6664631366729736,0.5,0.5,6.0
6.0,0.6666666865348816,0.5,0.6862881779670715,14,0.5,0.6726081371307373,0.4166666666666667,0.5833333134651184,6.0
6.0,0.8333333134651184,0.5,0.6843284964561462,14,0.5,0.6449594497680664,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.6828372478485107,15,0.5,0.6461360454559326,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.682887077331543,15,0.5,0.6392315030097961,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.6825217604637146,16,0.5,0.6418649554252625,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.680842399597168,16,0.5,0.6347760558128357,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.6806909441947937,17,0.5,0.6396673917770386,0.3333333333333333,0.6666666865348816,6.0
6.0,1.0,0.5,0.6798146367073059,17,0.5,0.6198107004165649,0.25,0.75,6.0
6.0,0.6666666865348816,0.5,0.6805579662322998,18,0.5,0.6615972518920898,0.4166666666666667,0.5833333134651184,6.0
6.0,0.8333333134651184,0.5,0.678284227848053,18,0.5,0.6252126693725586,0.3333333333333333,0.6666666865348816,6.0
6.0,0.6666666865348816,0.5,0.6785098910331726,19,0.5,0.6503096222877502,0.4166666666666667,0.5833333134651184,6.0
6.0,0.5,0.5,0.6795870661735535,19,0.5,0.677169144153595,0.5,0.5,6.0
6.0,0.6666666865348816,0.5,0.6779161095619202,20,0.5,0.6524225473403931,0.4166666666666667,0.5833333134651184,6.0
6.0,0.8333333134651184,0.5,0.6774969696998596,20,0.5,0.6453611254692078,0.3333333333333333,0.6666666865348816,6.0
6.0,1.0,0.5,0.6767194867134094,21,0.5,0.6366569995880127,0.25,0.75,6.0
6.0,0.6666666865348816,0.5,0.6771264672279358,21,0.5,0.6729976534843445,0.4166666666666667,0.5833333134651184,6.0
6.0,0.6666666865348816,0.5,0.6764174103736877,22,0.5,0.6637781858444214,0.4166666666666667,0.5833333134651184,6.0
6.0,0.5,0.5,0.6754099726676941,22,0.5,0.6875916123390198,0.5,0.5,6.0
6.0,0.5,0.5,0.6763861775398254,23,0.5,0.6837758421897888,0.5,0.5,6.0
6.0,0.5,0.5,0.6756591200828552,23,0.5,0.6694221496582031,0.5,0.5,6.0
6.0,0.8333333134651184,0.5,0.674910843372345,24,0.5,0.651304304599762,0.3333333333333333,0.6666666865348816,6.0
6.0,0.5,0.5,0.6748101115226746,24,0.5,0.6750922203063965,0.5,0.5,6.0
6.0,0.5,0.5,0.6737332344055176,25,0.5,0.6774274706840515,0.5,0.5,6.0
6.0,0.8333333134651184,0.5,0.6723837852478027,25,0.5,0.6455380320549011,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.3333333432674408,0.672771155834198,26,0.5,0.6551617980003357,0.25,0.5833333134651184,6.0
6.0,0.8333333134651184,0.3333333432674408,0.6730014681816101,26,0.5,0.6673594117164612,0.25,0.5833333134651184,6.0
6.0,0.6666666865348816,0.3333333432674408,0.6713387966156006,27,0.5,0.6573075652122498,0.3333333333333333,0.5,6.0
6.0,1.0,0.3333333432674408,0.6711564660072327,27,0.5,0.6563987135887146,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.1666666716337204,0.6704592108726501,28,0.5,0.6606994867324829,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6707608699798584,28,0.5,0.670457661151886,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6700875163078308,29,0.5,0.6633185744285583,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6675130724906921,29,0.5,0.6435701251029968,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6661068797111511,30,0.5,0.6382933259010315,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6672467589378357,30,0.5,0.6528064608573914,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.664494514465332,31,0.5,0.63506019115448,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6645152568817139,31,0.5,0.6387991309165955,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6645218729972839,32,0.5,0.6442577838897705,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6636565327644348,32,0.5,0.6424311995506287,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6622844934463501,33,0.5,0.636516273021698,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6605433821678162,33,0.5,0.6309773325920105,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.3333333432674408,0.6607273817062378,34,0.5,0.6353058218955994,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6600648164749146,34,0.5,0.6347119808197021,0.16666666666666666,0.6666666865348816,6.0
6.0,0.6666666865348816,0.3333333432674408,0.6597967743873596,35,0.5,0.6495875716209412,0.3333333333333333,0.5,6.0
6.0,1.0,0.3333333432674408,0.6577778458595276,35,0.5,0.6247900128364563,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6595146656036377,36,0.5,0.6458920836448669,0.16666666666666666,0.6666666865348816,6.0
6.0,0.8333333134651184,0.3333333432674408,0.6588783860206604,36,0.5,0.6511783599853516,0.25,0.5833333134651184,6.0
6.0,1.0,0.3333333432674408,0.6566301584243774,37,0.5,0.6292117834091187,0.16666666666666666,0.6666666865348816,6.0
6.0,0.8333333134651184,0.3333333432674408,0.6570568680763245,37,0.5,0.6477592587471008,0.25,0.5833333134651184,6.0
6.0,0.6666666865348816,0.3333333432674408,0.6559653878211975,38,0.5,0.6534773707389832,0.3333333333333333,0.5,6.0
6.0,0.8333333134651184,0.3333333432674408,0.6561745405197144,38,0.5,0.64955073595047,0.25,0.5833333134651184,6.0
6.0,1.0,0.3333333432674408,0.6561475396156311,39,0.5,0.6475715637207031,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6564226150512695,39,0.5,0.6581070423126221,0.16666666666666666,0.6666666865348816,6.0
6.0,0.5,0.3333333432674408,0.6543314456939697,40,0.5,0.6584612131118774,0.4166666666666667,0.4166666567325592,6.0
6.0,0.8333333134651184,0.3333333432674408,0.6538584232330322,40,0.5,0.6435438990592957,0.25,0.5833333134651184,6.0
6.0,0.6666666865348816,0.3333333432674408,0.6541358828544617,41,0.5,0.6539497971534729,0.3333333333333333,0.5,6.0
6.0,0.8333333134651184,0.3333333432674408,0.6532639861106873,41,0.5,0.6419224143028259,0.25,0.5833333134651184,6.0
6.0,0.8333333134651184,0.3333333432674408,0.6517972350120544,42,0.5,0.6345634460449219,0.25,0.5833333134651184,6.0
6.0,1.0,0.3333333432674408,0.6517634987831116,42,0.5,0.6309910416603088,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6497781872749329,43,0.5,0.6199260950088501,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6506528258323669,43,0.5,0.6282193064689636,0.16666666666666666,0.6666666865348816,6.0
6.0,0.8333333134651184,0.3333333432674408,0.6511717438697815,44,0.5,0.6400266289710999,0.25,0.5833333134651184,6.0
6.0,0.6666666865348816,0.3333333432674408,0.6485479474067688,44,0.5,0.6320883631706238,0.3333333333333333,0.5,6.0
6.0,1.0,0.3333333432674408,0.6499287486076355,45,0.5,0.6428393721580505,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.648410975933075,45,0.5,0.629910409450531,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.647332489490509,46,0.5,0.6229221224784851,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6482771039009094,46,0.5,0.6344443559646606,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.647466778755188,47,0.5,0.6342365741729736,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6478399634361267,47,0.5,0.6336379647254944,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6472858786582947,48,0.5,0.6330428719520569,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6478644013404846,48,0.5,0.6404663324356079,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6453273892402649,49,0.5,0.621598482131958,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6471813321113586,49,0.5,0.6373593211174011,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6461986899375916,50,0.5,0.6311783194541931,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6458656191825867,50,0.5,0.6292219758033752,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6446628570556641,51,0.5,0.620783269405365,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6437442302703857,51,0.5,0.6152857542037964,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6451021432876587,52,0.5,0.6265353560447693,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.1666666716337204,0.6441559195518494,52,0.5,0.6212472319602966,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.1666666716337204,0.6447495818138123,53,0.5,0.6260240077972412,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.3333333432674408,0.6443856358528137,53,0.5,0.6228945255279541,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6437349915504456,54,0.5,0.6195393800735474,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.1666666716337204,0.6422961354255676,54,0.5,0.6095122694969177,0.08333333333333333,0.5833333134651184,6.0
6.0,1.0,0.3333333432674408,0.643785834312439,55,0.5,0.62277752161026,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6426652669906616,55,0.5,0.6149635910987854,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6424016952514648,56,0.5,0.6144947409629822,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6429929733276367,56,0.5,0.6210188269615173,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6419959664344788,57,0.5,0.6139644980430603,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6411140561103821,57,0.5,0.6078370213508606,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6410180330276489,58,0.5,0.6077688336372375,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6407080888748169,58,0.5,0.6087295413017273,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.639657199382782,59,0.5,0.601393461227417,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6402217745780945,59,0.5,0.6083433032035828,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6399693489074707,60,0.5,0.6085461974143982,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6395353078842163,60,0.5,0.6069516539573669,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6379061937332153,61,0.5,0.5949746370315552,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6385383009910583,61,0.5,0.6042426228523254,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6390637755393982,62,0.5,0.614147424697876,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6387267112731934,62,0.5,0.6140713095664978,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6362132430076599,63,0.5,0.589739978313446,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6382450461387634,63,0.5,0.6144893765449524,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6357921361923218,64,0.5,0.5959832668304443,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6376541256904602,64,0.5,0.612579345703125,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6356222033500671,65,0.5,0.5961301922798157,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6369624137878418,65,0.5,0.6096933484077454,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6343511939048767,66,0.5,0.5860990881919861,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6377232670783997,66,0.5,0.6191810369491577,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6375143527984619,67,0.5,0.6127931475639343,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6338433623313904,67,0.5,0.5863919854164124,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6328308582305908,68,0.5,0.5813976526260376,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6343717575073242,68,0.5,0.5924419164657593,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6364368796348572,69,0.5,0.608369767665863,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.3333333432674408,0.6348012089729309,69,0.5,0.5935501456260681,0.16666666666666666,0.6666666865348816,6.0
6.0,1.0,0.5,0.6381528973579407,70,0.5,0.6282758116722107,0.25,0.75,6.0
6.0,1.0,0.5,0.6347410678863525,70,0.5,0.5977389812469482,0.25,0.75,6.0
6.0,1.0,0.5,0.6346393823623657,71,0.5,0.5946263670921326,0.25,0.75,6.0
6.0,1.0,0.5,0.6345728039741516,71,0.5,0.6006852984428406,0.25,0.75,6.0
6.0,1.0,0.5,0.6358328461647034,72,0.5,0.6078521013259888,0.25,0.75,6.0
6.0,1.0,0.5,0.632802426815033,72,0.5,0.5856955051422119,0.25,0.75,6.0
6.0,1.0,0.5,0.6356698870658875,73,0.5,0.6044344305992126,0.25,0.75,6.0
6.0,1.0,0.5,0.6346507668495178,73,0.5,0.6002969145774841,0.25,0.75,6.0
6.0,1.0,0.5,0.6321855187416077,74,0.5,0.5831931233406067,0.25,0.75,6.0
6.0,1.0,0.5,0.6344435811042786,74,0.5,0.5977615118026733,0.25,0.75,6.0
6.0,1.0,0.5,0.6353635787963867,75,0.5,0.6039037108421326,0.25,0.75,6.0
6.0,1.0,0.5,0.6365814208984375,75,0.5,0.6111063361167908,0.25,0.75,6.0
6.0,1.0,0.5,0.6355220675468445,76,0.5,0.6043287515640259,0.25,0.75,6.0
6.0,1.0,0.5,0.635103166103363,76,0.5,0.6020955443382263,0.25,0.75,6.0
6.0,1.0,0.5,0.634553849697113,77,0.5,0.5962375998497009,0.25,0.75,6.0
6.0,1.0,0.5,0.6331205368041992,77,0.5,0.5875570178031921,0.25,0.75,6.0
6.0,1.0,0.5,0.6333269476890564,78,0.5,0.5887846946716309,0.25,0.75,6.0
6.0,1.0,0.5,0.6323755979537964,78,0.5,0.5828661918640137,0.25,0.75,6.0
6.0,1.0,0.5,0.6331073045730591,79,0.5,0.5871285200119019,0.25,0.75,6.0
6.0,1.0,0.5,0.6330689191818237,79,0.5,0.5872960686683655,0.25,0.75,6.0
6.0,1.0,0.5,0.6325756907463074,80,0.5,0.5844794511795044,0.25,0.75,6.0
6.0,1.0,0.5,0.631989061832428,80,0.5,0.5810251832008362,0.25,0.75,6.0
6.0,1.0,0.5,0.6321056485176086,81,0.5,0.5817419290542603,0.25,0.75,6.0
6.0,1.0,0.5,0.6312556862831116,81,0.5,0.5762191414833069,0.25,0.75,6.0
6.0,0.8333333134651184,0.5,0.630688488483429,82,0.5,0.5923914313316345,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.6312288641929626,82,0.5,0.5868414044380188,0.3333333333333333,0.6666666865348816,6.0
6.0,1.0,0.5,0.6300439834594727,83,0.5,0.5767093896865845,0.25,0.75,6.0
6.0,0.8333333134651184,0.5,0.6271247267723083,83,0.5,0.6018515229225159,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.628730833530426,84,0.5,0.5900813341140747,0.3333333333333333,0.6666666865348816,6.0
6.0,1.0,0.5,0.6274699568748474,84,0.5,0.5700104832649231,0.25,0.75,6.0
6.0,0.6666666865348816,0.5,0.6292108297348022,85,0.5,0.6007969975471497,0.4166666666666667,0.5833333134651184,6.0
6.0,0.5,0.5,0.6244556903839111,85,0.5,0.6672746539115906,0.5,0.5,6.0
6.0,0.8333333134651184,0.5,0.6242244839668274,86,0.5,0.5699202418327332,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.625310480594635,86,0.5,0.616664707660675,0.3333333333333333,0.6666666865348816,6.0
6.0,0.8333333134651184,0.5,0.625311017036438,87,0.5,0.577264666557312,0.3333333333333333,0.6666666865348816,6.0
6.0,0.6666666865348816,0.5,0.6115862727165222,87,0.5,0.6817778944969177,0.4166666666666667,0.5833333134651184,6.0
