/Graph
Time (s),posX (Meters),posY (Meters),posZ (Meters)
4.95000,-8.2677e-01,-5.4867e-01,+1.9220e-02
5.00000,-8.2699e-01,-5.4832e-01,+1.9222e-02
5.05000,-8.2719e-01,-5.4793e-01,+1.9205e-02
5.10000,-8.2745e-01,-5.4749e-01,+1.9206e-02
5.15000,-8.2770e-01,-5.4711e-01,+1.9216e-02
5.20000,-8.2792e-01,-5.4676e-01,+1.9217e-02
5.25000,-8.2815e-01,-5.4640e-01,+1.9211e-02
5.30000,-8.2841e-01,-5.4596e-01,+1.9218e-02
5.35000,-8.2865e-01,-5.4559e-01,+1.9229e-02
5.40000,-8.2885e-01,-5.4527e-01,+1.9226e-02
5.45000,-8.2911e-01,-5.4481e-01,+1.9250e-02
5.50000,-8.2933e-01,-5.4436e-01,+1.9231e-02
5.55000,-8.2954e-01,-5.4391e-01,+1.9222e-02
5.60000,-8.2975e-01,-5.4348e-01,+1.9217e-02
5.65000,-8.2998e-01,-5.4306e-01,+1.9216e-02
5.70000,-8.3022e-01,-5.4267e-01,+1.9218e-02
5.75000,-8.3048e-01,-5.4224e-01,+1.9219e-02
5.80000,-8.3074e-01,-5.4178e-01,+1.9220e-02
5.85000,-8.3100e-01,-5.4136e-01,+1.9219e-02
5.90000,-8.3123e-01,-5.4100e-01,+1.9219e-02
5.95000,-8.3149e-01,-5.4056e-01,+1.9216e-02
6.00000,-8.3174e-01,-5.4008e-01,+1.9228e-02
6.05000,-8.3197e-01,-5.3969e-01,+1.9223e-02
6.10000,-8.3218e-01,-5.3930e-01,+1.9216e-02
6.15000,-8.3244e-01,-5.3883e-01,+1.9220e-02
6.20000,-8.3272e-01,-5.3838e-01,+1.9231e-02
6.25000,-8.3296e-01,-5.3799e-01,+1.9223e-02
6.30000,-8.3317e-01,-5.3765e-01,+1.9219e-02
6.35000,-8.3342e-01,-5.3723e-01,+1.9217e-02
6.40000,-8.3369e-01,-5.3679e-01,+1.9237e-02
6.45000,-8.3395e-01,-5.3638e-01,+1.9224e-02
6.50000,-8.3421e-01,-5.3596e-01,+1.9221e-02
6.55000,-8.3445e-01,-5.3556e-01,+1.9226e-02
6.60000,-8.3468e-01,-5.3516e-01,+1.9228e-02
