bc/neglogp,bc/l2_norm,bc/samples_so_far,bc/l2_loss,bc/loss,bc/batch_num,bc/entropy,bc/prob_true_act,bc/epoch_num,bc/ent_loss
2.5214502811431885,43.500099182128906,2944,0.0,2.5186123847961426,1,2.837877035140991,0.10722491145133972,0,-0.002837877254933119
0.8168275356292725,53.32076644897461,1474944,0.0,0.8150674104690552,501,1.7601183652877808,0.45793840289115906,500,-0.0017601184081286192
-0.08152282983064651,60.91154861450195,2946944,0.0,-0.08230242133140564,1001,0.7795878052711487,1.2099100351333618,1000,-0.0007795878336764872
-0.8991531729698181,98.22297668457031,4418944,0.0,-0.899021565914154,1501,-0.1316128969192505,2.9843616485595703,1500,0.0001316129055339843
-1.7611885070800781,137.53732299804688,5890944,0.0,-1.7601613998413086,2001,-1.027140736579895,7.235905647277832,2000,0.0010271407663822174
-2.385005235671997,162.0931396484375,7362944,0.0,-2.3831725120544434,2501,-1.8328094482421875,16.075302124023438,2500,0.0018328095320612192
-2.76662278175354,185.1476287841797,8834944,0.0,-2.7641944885253906,3001,-2.4281766414642334,28.329004287719727,3000,0.002428176812827587
-3.034360408782959,211.0962371826172,10306944,0.0,-3.0315208435058594,3501,-2.8394620418548584,43.72590255737305,3500,0.0028394621331244707
-3.1686978340148926,235.96971130371094,11778944,0.0,-3.165614366531372,4001,-3.083468198776245,56.01360321044922,4000,0.0030834684148430824
-3.271801233291626,259.7643737792969,13250944,0.0,-3.2685775756835938,4501,-3.2236597537994385,64.6216049194336,4500,0.003223659936338663
-3.3759732246398926,284.4125671386719,14722944,0.0,-3.372631549835205,5001,-3.3417861461639404,72.61898803710938,5000,0.00334178633056581
-3.499859094619751,308.25738525390625,16194944,0.0,-3.496398448944092,5501,-3.4605982303619385,82.31017303466797,5500,0.003460598411038518
-3.6167948246002197,329.77813720703125,17666944,0.0,-3.6132161617279053,6001,-3.578643560409546,92.37671661376953,6000,0.0035786437802016735
-3.7362112998962402,348.7998352050781,19138944,0.0,-3.732499599456787,6501,-3.7117764949798584,105.0919418334961,6500,0.0037117765750736
