bc/prob_true_act,bc/ent_loss,bc/samples_so_far,bc/loss,bc/epoch_num,bc/l2_loss,bc/neglogp,bc/entropy,bc/l2_norm,bc/batch_num
0.032268427312374115,-0.002837877254933119,28,4.485147953033447,0,0.0,4.487985610961914,2.837877035140991,64.5000991821289,1
0.40965551137924194,-0.001888993545435369,14028,0.8906002640724182,500,0.0,0.8924892544746399,1.888993501663208,74.11192321777344,501
1.167791724205017,-0.0008447875734418631,28028,-0.155959352850914,1000,0.0,-0.1551145613193512,0.8447875380516052,76.43094635009766,1001
3.2328121662139893,0.00017339730402454734,42028,-1.1731789112091064,1500,0.0,-1.1733523607254028,-0.17339730262756348,78.87397766113281,1501
8.874536514282227,0.0011838505743071437,56028,-2.182001829147339,2000,0.0,-2.183185577392578,-1.1838505268096924,81.08588409423828,2001
24.19453239440918,0.002188537735491991,70028,-3.1839332580566406,2500,0.0,-3.186121702194214,-2.18853759765625,86.4130630493164,2501
34.56643295288086,0.0025749029591679573,84028,-3.535959482192993,3000,0.0,-3.53853440284729,-2.5749027729034424,98.65013885498047,3001
50.67469024658203,0.002931290538981557,98028,-3.922394275665283,3500,0.0,-3.925325632095337,-2.9312903881073,99.96665954589844,3501
79.00080108642578,0.003374026855453849,112028,-4.366030216217041,4000,0.0,-4.369404315948486,-3.3740267753601074,101.44096374511719,4001
130.27687072753906,0.003875559428706765,126028,-4.865738868713379,4500,0.0,-4.869614601135254,-3.8755593299865723,104.39227294921875,4501
245.39883422851562,0.004506151657551527,140028,-5.498347759246826,5000,0.0,-5.502853870391846,-4.5061516761779785,107.53385162353516,5001
499.7872619628906,0.005220344755798578,154028,-6.208871364593506,5500,0.0,-6.214091777801514,-5.220344543457031,111.0845947265625,5501
1080.859619140625,0.005986118223518133,168028,-6.979525566101074,6000,0.0,-6.985511779785156,-5.986117839813232,114.69010162353516,6001
2399.838134765625,0.006784440018236637,182028,-7.776371479034424,6500,0.0,-7.783155918121338,-6.784439563751221,119.65746307373047,6501
5233.1953125,0.0075807953253388405,196028,-8.555155754089355,7000,0.0,-8.562736511230469,-7.580794811248779,124.39774322509766,7001
10817.4892578125,0.00829282496124506,210028,-9.280618667602539,7500,0.0,-9.288911819458008,-8.292824745178223,128.99038696289062,7501
12586.0546875,0.008776739239692688,224028,-9.419512748718262,8000,0.0,-9.428289413452148,-8.776739120483398,132.70314025878906,8001
25849.548828125,0.00918468739837408,238028,-10.150136947631836,8500,0.0,-10.159321784973145,-9.184686660766602,135.70928955078125,8501
23961.49609375,0.009173090569674969,252028,-10.031033515930176,9000,0.0,-10.040206909179688,-9.173089981079102,144.18011474609375,9001
25397.083984375,0.00917504820972681,266028,-10.12909984588623,9500,0.0,-10.138275146484375,-9.175047874450684,144.21420288085938,9501
25671.994140625,0.00917765311896801,280028,-10.142139434814453,10000,0.0,-10.15131664276123,-9.177652359008789,144.25025939941406,10001
25853.62890625,0.009181009605526924,294028,-10.149826049804688,10500,0.0,-10.15900707244873,-9.181009292602539,144.28977966308594,10501
26025.013671875,0.009185354225337505,308028,-10.156712532043457,11000,0.0,-10.165898323059082,-9.185354232788086,144.33448791503906,11001
26212.685546875,0.009190940298140049,322028,-10.164050102233887,11500,0.0,-10.173240661621094,-9.190939903259277,144.3861541748047,11501
26434.75,0.009198120795190334,336028,-10.172581672668457,12000,0.0,-10.181779861450195,-9.1981201171875,144.44703674316406,12001
26708.865234375,0.009207346476614475,350028,-10.182968139648438,12500,0.0,-10.19217586517334,-9.207345962524414,144.51995849609375,12501
26999.853515625,0.009217259474098682,364028,-10.193900108337402,13000,0.0,-10.203117370605469,-9.217259407043457,144.61276245117188,13001
27369.625,0.009229471907019615,378028,-10.207508087158203,13500,0.0,-10.216737747192383,-9.229471206665039,144.7233428955078,13501
27826.689453125,0.009244430810213089,392028,-10.224148750305176,14000,0.0,-10.233392715454102,-9.244430541992188,144.857177734375,14001
28346.62890625,0.00926320068538189,406028,-10.24263858795166,14500,0.0,-10.251901626586914,-9.263199806213379,145.0201873779297,14501
29194.201171875,0.009290244430303574,420028,-10.272241592407227,15000,0.0,-10.281532287597656,-9.290244102478027,145.22454833984375,15001
30056.974609375,0.009318777360022068,434028,-10.301348686218262,15500,0.0,-10.310667037963867,-9.318777084350586,145.46713256835938,15501
30805.013671875,0.009354797191917896,448028,-10.325584411621094,16000,0.0,-10.334939002990723,-9.354796409606934,145.76268005371094,16001
32531.646484375,0.009402557276189327,462028,-10.380459785461426,16500,0.0,-10.389862060546875,-9.402556419372559,146.1301727294922,16501
30054.302734375,0.009459499269723892,476028,-10.291194915771484,17000,0.0,-10.300654411315918,-9.459498405456543,146.5684814453125,17001
34992.6015625,0.009546850807964802,490028,-10.452208518981934,17500,0.0,-10.461755752563477,-9.546850204467773,147.17381286621094,17501
41257.98046875,0.009631723165512085,504028,-10.617924690246582,18000,0.0,-10.627556800842285,-9.631722450256348,147.80686950683594,18001
45437.87109375,0.00972733087837696,518028,-10.714343070983887,18500,0.0,-10.72407054901123,-9.727330207824707,148.5244140625,18501
50596.1953125,0.009834143333137035,532028,-10.821778297424316,19000,0.0,-10.831612586975098,-9.834142684936523,149.33282470703125,19001
56437.7578125,0.009942932985723019,546028,-10.930937767028809,19500,0.0,-10.94088077545166,-9.94293212890625,150.1806182861328,19501
63585.16015625,0.010062003508210182,560028,-11.050063133239746,20000,0.0,-11.060125350952148,-10.062003135681152,151.11004638671875,20001
70172.0390625,0.01016053557395935,574028,-11.14853572845459,20500,0.0,-11.158696174621582,-10.160534858703613,151.94554138183594,20501
