bc/prob_true_act,bc/samples_so_far,bc/l2_norm,bc/entropy,bc/ent_loss,bc/neglogp,bc/l2_loss,bc/epoch_num,bc/loss,bc/batch_num
0.03246966004371643,28,35.500099182128906,2.837877035140991,-0.002837877254933119,4.496845722198486,0.0,0,4.4940080642700195,1
0.32994022965431213,14028,44.861236572265625,2.0266611576080322,-0.0020266612991690636,1.1380934715270996,0.0,500,1.1360667943954468,501
0.8189272284507751,28028,57.0780143737793,1.076630711555481,-0.0010766307823359966,0.318866491317749,0.0,1000,0.31778985261917114,1001
2.2229971885681152,42028,118.5988540649414,0.13182806968688965,-0.00013182807015255094,-0.6909233331680298,0.0,1500,-0.691055178642273,1501
6.969329833984375,56028,192.90780639648438,-0.9475213885307312,0.000947521417401731,-1.9412773847579956,0.0,2000,-1.940329909324646,2001
21.24944496154785,70028,202.6280975341797,-2.058469295501709,0.002058469457551837,-3.0563156604766846,0.0,2500,-3.0542571544647217,2501
60.812713623046875,84028,205.8998260498047,-3.108816385269165,0.0031088164541870356,-4.107797145843506,0.0,3000,-4.1046881675720215,3001
164.05125427246094,98028,209.47239685058594,-4.113821506500244,0.004113821778446436,-5.0994977951049805,0.0,3500,-5.095384120941162,3501
379.0438537597656,112028,213.5263671875,-5.056392192840576,0.005056392401456833,-5.765919208526611,0.0,4000,-5.760862827301025,4001
861.1393432617188,126028,217.10755920410156,-5.806826114654541,0.0058068265207111835,-6.740926265716553,0.0,4500,-6.735119342803955,4501
1734.578125,140028,220.8599090576172,-6.460860729217529,0.006460860837250948,-7.458507061004639,0.0,5000,-7.4520463943481445,5001
2586.112548828125,154028,223.192626953125,-6.87047815322876,0.006870478391647339,-7.857444763183594,0.0,5500,-7.850574493408203,5501
2887.017333984375,168028,224.62693786621094,-7.138244152069092,0.007138244342058897,-7.108025550842285,0.0,6000,-7.100887298583984,6001
1155.8692626953125,182028,226.38003540039062,-7.397048473358154,0.007397048640996218,11.823756217956543,0.0,6500,11.83115291595459,6501
4226.48291015625,196028,227.44595336914062,-7.53272008895874,0.0075327204540371895,-7.6912641525268555,0.0,7000,-7.683731555938721,7001
4881.5869140625,210028,228.00440979003906,-7.607436656951904,0.007607437204569578,-8.290815353393555,0.0,7500,-8.283207893371582,7501
6295.8125,224028,229.1526336669922,-7.752817630767822,0.007752818055450916,-8.747591972351074,0.0,8000,-8.739839553833008,8001
6429.92578125,238028,229.5334930419922,-7.805163860321045,0.007805164437741041,-8.755655288696289,0.0,8500,-8.74785041809082,8501
7752.7177734375,252028,230.7363739013672,-7.9613800048828125,0.007961380295455456,-8.955742835998535,0.0,9000,-8.947781562805176,9001
7982.4736328125,266028,231.15374755859375,-7.990494251251221,0.00799049437046051,-8.984950065612793,0.0,9500,-8.976959228515625,9501
8968.7392578125,280028,231.97703552246094,-8.107483863830566,0.008107484318315983,-9.1014404296875,0.0,10000,-9.09333324432373,10001
8619.9697265625,294028,232.0585479736328,-8.070927619934082,0.008070928044617176,-9.061746597290039,0.0,10500,-9.053675651550293,10501
9748.2412109375,308028,233.0742950439453,-8.227482795715332,0.008227483369410038,-9.181267738342285,0.0,11000,-9.173040390014648,11001
9903.6923828125,322028,233.21484375,-8.206399917602539,0.008206400088965893,-9.200607299804688,0.0,11500,-9.192400932312012,11501
9796.9853515625,336028,233.4189910888672,-8.196812629699707,0.008196813054382801,-9.18978214263916,0.0,12000,-9.181585311889648,12001
10696.1669921875,350028,234.0557098388672,-8.283401489257812,0.0082834018394351,-9.277587890625,0.0,12500,-9.269304275512695,12501
10381.4873046875,364028,234.18983459472656,-8.260396003723145,0.008260396309196949,-9.24750804901123,0.0,13000,-9.23924732208252,13001
11352.951171875,378028,234.83505249023438,-8.345489501953125,0.00834549032151699,-9.337156295776367,0.0,13500,-9.328810691833496,13501
10065.1162109375,392028,234.85494995117188,-8.299459457397461,0.00829945970326662,-9.161054611206055,0.0,14000,-9.152754783630371,14001
11353.8642578125,406028,235.29208374023438,-8.343567848205566,0.008343568071722984,-9.33726978302002,0.0,14500,-9.328926086425781,14501
11634.3388671875,420028,235.64877319335938,-8.367142677307129,0.008367142640054226,-9.361672401428223,0.0,15000,-9.353304862976074,15001
11746.517578125,434028,235.93807983398438,-8.376673698425293,0.00837667379528284,-9.371271133422852,0.0,15500,-9.362894058227539,15501
12384.578125,448028,236.48178100585938,-8.44086742401123,0.008440867997705936,-9.423805236816406,0.0,16000,-9.415364265441895,16001
12448.6318359375,462028,236.70701599121094,-8.434660911560059,0.008434661664068699,-9.429326057434082,0.0,16500,-9.420891761779785,16501
10709.6259765625,476028,237.1339111328125,-8.477320671081543,0.008477320894598961,-9.020295143127441,0.0,17000,-9.011817932128906,17001
13010.095703125,490028,237.43402099609375,-8.485167503356934,0.008485168218612671,-9.473320007324219,0.0,17500,-9.464835166931152,17501
11218.775390625,504028,237.64894104003906,-8.476990699768066,0.008476991206407547,-9.229405403137207,0.0,18000,-9.220928192138672,18001
13537.1455078125,518028,238.14137268066406,-8.518412590026855,0.008518412709236145,-9.513155937194824,0.0,18500,-9.504637718200684,18501
12668.267578125,532028,238.11436462402344,-8.454258918762207,0.008454259485006332,-9.446823120117188,0.0,19000,-9.438368797302246,19001
12352.4228515625,546028,238.95352172851562,-8.568861961364746,0.008568862453103065,-8.806253433227539,0.0,19500,-8.797684669494629,19501
12853.5205078125,560028,238.74847412109375,-8.468206405639648,0.008468206971883774,-9.461331367492676,0.0,20000,-9.452862739562988,20001
