mean/disc/disc_proportion_expert_true,mean/disc/disc_acc,mean/gen/time/total_timesteps,mean/gen/train/loss,mean/gen/train/clip_fraction,mean/gen/time/time_elapsed,mean/disc/n_expert,mean/gen/time/fps,mean/gen/train/entropy_loss,mean/disc/n_generated,mean/gen/train/approx_kl,mean/disc/disc_entropy,mean/gen/rollout/ep_rew_mean,mean/gen/train/value_loss,mean/disc/disc_acc_expert,mean/disc/disc_loss,mean/gen/train/std,mean/gen/train/policy_gradient_loss,mean/disc/global_step,mean/disc/disc_acc_gen,mean/gen/train/n_updates,mean/gen/rollout/ep_len_mean,mean/gen/train/clip_range,mean/gen/time/iterations,mean/gen/train/learning_rate,mean/gen/train/explained_variance,mean/disc/disc_proportion_expert_pred,mean/gen/rollout/ep_rew_wrapped_mean
0.5,0.3333333358168602,64.0,2.5530378818511963,0.0375,0.0,6.0,463.0,-2.834701093037923,6.0,0.006868225522339344,0.6919710040092468,0.0,6.8669498284657795,0.1666666716337204,0.7089765071868896,0.9944599270820618,-0.021216487356772024,1.0,0.4999999925494194,30.0,5.0,0.2,1.0,0.0003,-0.11889135837554932,0.3333333333333333,
0.5,0.4583333283662796,128.0,0.2989075779914856,0.1625,0.0,6.0,465.0,-2.820305275917053,6.0,0.019516289234161377,0.6924661099910736,0.0,1.3284484048684437,0.1666666716337204,0.6978763043880463,0.9891178011894226,-0.025135886731247108,2.0,0.75,60.0,5.0,0.2,1.0,0.0003,0.4762078523635864,0.20833333333333331,3.31468499203523
0.5,0.5416666567325592,192.0,-0.013670526444911957,0.16927083333333334,0.0,6.0,445.0,-2.8122270107269287,6.0,0.02209693193435669,0.6927113234996796,0.0,0.3058352225770553,0.1666666716337204,0.6956042349338531,0.9857913851737976,-0.024479614943265914,3.0,0.9166666567325592,90.0,5.0,0.2,1.0,0.0003,0.6890652775764465,0.125,3.317356309890747
0.5,0.5833333134651184,256.0,-0.03803509473800659,0.11510416666666666,0.0,6.0,466.0,-2.8093581438064574,6.0,0.015011254698038101,0.6923373937606812,0.0,0.028118441284944614,0.1666666716337204,0.6834434866905212,0.9854090213775635,-0.02663678415119648,4.0,1.0,120.0,5.0,0.2,1.0,0.0003,0.9590472467243671,0.08333333333333333,3.3119713240548183
0.5,0.7083333432674408,320.0,-0.028366567566990852,0.14791666666666667,0.0,6.0,476.0,-2.8113510847091674,6.0,0.0189627967774868,0.6919841170310974,0.0,0.004818977609587213,0.4166666716337204,0.6771335601806641,0.9897388219833374,-0.016941065496454636,5.0,1.0,150.0,5.0,0.2,1.0,0.0003,0.9908450581133366,0.20833333333333331,3.3077593644460044
0.5,0.75,384.0,-0.04259854927659035,0.13854166666666667,0.0,6.0,457.0,-2.816825350125631,6.0,0.010230796411633492,0.6917077004909515,0.0,0.0013073807097195337,0.5,0.6737406253814697,0.9890790581703186,-0.027582620084285737,6.0,1.0,180.0,5.0,0.2,1.0,0.0003,0.9978135440032929,0.25,3.302789008244872
0.5,0.75,448.0,-0.06256397068500519,0.22135416666666666,0.0,6.0,463.0,-2.8184576272964477,6.0,0.040760669857263565,0.6913192868232727,0.0,0.00027663088258123025,0.5,0.6712160110473633,0.9935479164123535,-0.04237294448539615,7.0,1.0,210.0,5.0,0.2,1.0,0.0003,0.9996410013409331,0.25,3.3014620369986485
0.5,0.75,512.0,-0.06826114654541016,0.23125,0.0,6.0,470.0,-2.8286894877751667,6.0,0.05583436042070389,0.6906032562255859,0.0,0.0004984487071245288,0.5,0.6670368313789368,0.9962684512138367,-0.047894903396566706,8.0,1.0,240.0,5.0,0.2,1.0,0.0003,0.9993995224358514,0.25,3.299790474136224
0.5,0.7083333432674408,576.0,-0.0782710388302803,0.1765625,0.0,6.0,473.0,-2.8293731530507404,6.0,0.054085955023765564,0.6894634962081909,0.0,0.0005975545422794919,0.5,0.6540526449680328,0.99329674243927,-0.05042800918842356,9.0,0.9166666567325592,270.0,5.0,0.2,1.0,0.0003,0.9994219082291238,0.29166666666666663,3.2982714676856997
0.5,0.7083333432674408,640.0,-0.06457890570163727,0.27708333333333335,0.0,6.0,466.0,-2.8234105269114176,6.0,0.03752552717924118,0.6893234252929688,0.0,0.0005014550367680689,0.5,0.6604064702987671,0.9957801103591919,-0.0475970147177577,10.0,0.9166666567325592,300.0,5.0,0.2,1.0,0.0003,0.9994826214388013,0.29166666666666663,3.2947719329595566
